feature,importance
rainfall_forecast_mm,0.2942971406047045
heavy_rain_flag,0.18863631819153226
monsoon_flag,0.17646987751390245
aqi_forecast,0.11796377648802842
compound_severity,0.0805325839496279
heat_aqi_synergy,0.05316956315279854
severe_aqi_flag,0.04187458897643874
traffic_index,0.01282106331253047
historical_disruption_rate,0.011290491069583394
rain_flood_interaction,0.00702590438036803
temperature_forecast_c,0.006359435349459545
curfew_risk,0.00382479982182468
flood_risk,0.002692991327992506
strike_risk,0.001630420948637504
avg_work_hours,0.0008519568536868793
deliveries_per_day,0.0005590880588841964
